処理番号,営業日付,店舗名称,3rd Item No.,表記部門名1,StyleNo,商品名,ColorNo,ColorName,Size,数量,税抜単価,税単価,税込単価,税抜金額,税額,税込金額,上代,金種名,調整値引,客層名,拡張名,販売者,会員フラグ,会員番号
449464,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23793021X,FJALLRAVEN,23793,Kanken Bottle Pocket,021,Fog,X,1,"4,000",400,"4,400","4,000",400,"4,400","4,000",電子マネー,,男性,II,木村,1,143735
449464,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23510021X,FJALLRAVEN,23510,Kanken,021,Fog,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",電子マネー,,男性,II,木村,1,143735
449464,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP008,Other,RP008,KANKEN SMU,,,X,1,"2,000",200,"2,200","2,000",200,"2,200","2,000",電子マネー,,男性,II,木村,1,143735
449465,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,TNC103176X,TENNEN,TNC103,ジャンボ2ボールチャーム,176,Wine Red,X,1,"3,500",350,"3,850","3,500",350,"3,850","3,500",複数金種,,女性,IV,久保,1,132892
449465,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23346550X,FJALLRAVEN,23346,Skule 28,550,Black,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","14,000",複数金種,,女性,IV,久保,1,132892
449466,2026/06/30,FJALLRAVEN POPUP NARITA,23200341354-228X,FJALLRAVEN,23200341,Vardag Totepack 22,354-228,Poppy Pink-Khaki Dust,X,1,"18,000",0,"18,000","18,000",0,"18,000","18,000",現金,,外国男性,III,共通ユーザ,0,
449467,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,24221633X,FJALLRAVEN,24221,Pocket,633,Dark Olive,X,1,"6,000",600,"6,600","6,000",600,"6,600","6,000",複数金種,,外国男性,II,片岡,0,
449469,2026/06/30,FJALLRAVEN by 3NITY SAPPORO HUTTE,79258244M,FJALLRAVEN,79258,HatfieldHat,244,Suede Brown,M,1,"6,400",640,"7,040","6,400",640,"7,040","7,400",複数金種,,女性,III,佐藤,1,105333
449469,2026/06/30,FJALLRAVEN by 3NITY SAPPORO HUTTE,23785350X,FJALLRAVEN,23785,Kanken Keyring,350,Korall,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",複数金種,,女性,III,佐藤,1,105333
449470,2026/06/30,6142,23200338620-221X,FJALLRAVEN,23200338,Vardag Pocket Small,620-221,Green-Clay,X,1,"6,500",0,"6,500","6,500",0,"6,500","6,500",カード,,外国女性,III,中尾,0,
449471,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23797312X,FJALLRAVEN,23797,Kanken Sling,312,PINK,X,1,"10,500","1,050","11,550","10,500","1,050","11,550","10,500",電子マネー,,外国女性,III,宮下,1,143736
449472,2026/06/30,FJALLRAVEN POPUP NARITA,23797424X,FJALLRAVEN,23797,Kanken Sling,424,Blackberry,X,1,"10,500",0,"10,500","10,500",0,"10,500","10,500",カード,,外国女性,IV,共通ユーザ,0,
449473,2026/06/30,FJALLRAVEN POPUP NARITA,23797457X,FJALLRAVEN,23797,Kanken Sling,457,Pastel Lavender,X,1,"10,500",0,"10,500","10,500",0,"10,500","10,500",カード,,外国女性,II,共通ユーザ,0,
449474,2026/06/30,FJALLRAVEN POPUP NARITA,78150166L/XL,FJALLRAVEN,78150,High Coast Lite Cap,166,Acorn,L/XL,1,"5,500",0,"5,500","5,500",0,"5,500","5,500",カード,,外国男性,IV,共通ユーザ,0,
449475,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,Hokkosai1200X,Other,Hokkosai1200,北狐祭手ぬぐい,,,X,1,600,60,660,600,60,660,"1,200",カード,,男性,V,長尾,1,132687
449475,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23345633X,FJALLRAVEN,23345,Raven 28,633,Dark Olive,X,1,"18,000","1,800","19,800","18,000","1,800","19,800","19,000",カード,,男性,V,長尾,1,132687
449476,2026/06/30,FJALLRAVEN POPUP NARITA,77357633L/XL,FJALLRAVEN,77357,Vidda Cap,633,Dark Olive,L/XL,1,"6,200",0,"6,200","6,200",0,"6,200","6,200",カード,,外国男性,III,共通ユーザ,0,
449477,2026/06/30,FJALLRAVEN POPUP NARITA,23510302X,FJALLRAVEN,23510,Kanken,302,Chalk Rose,X,1,"13,000",0,"13,000","13,000",0,"13,000","13,000",カード,,外国女性,II,共通ユーザ,0,
449477,2026/06/30,FJALLRAVEN POPUP NARITA,23797312X,FJALLRAVEN,23797,Kanken Sling,312,PINK,X,1,"10,500",0,"10,500","10,500",0,"10,500","10,500",カード,,外国女性,II,共通ユーザ,0,
449477,2026/06/30,FJALLRAVEN POPUP NARITA,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,外国女性,II,共通ユーザ,0,
449478,2026/06/30,6142,23346050X,FJALLRAVEN,23346,Skule 28,050,Basalt,X,1,"14,000",0,"14,000","14,000",0,"14,000","14,000",電子マネー,,外国女性,IV,中尾,0,
449479,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23344633X,FJALLRAVEN,23344,Raven 20,633,Dark Olive,X,1,"16,000","1,600","17,600","16,000","1,600","17,600","16,000",カード,,女性,IV,宮下,1,143737
449479,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,女性,IV,宮下,1,143737
449480,2026/06/30,6142,RP010,Other,RP010,ショッパー(S),,,X,1,100,10,110,100,10,110,50,現金,,外国女性,V,中尾,0,
449481,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,Hokkosai1200X,Other,Hokkosai1200,北狐祭手ぬぐい,,,X,1,600,60,660,600,60,660,"1,200",現金,,男性,V,長尾,1,123910
449482,2026/06/30,6142,23345050X,FJALLRAVEN,23345,Raven 28,050,Basalt,X,1,"19,000",0,"19,000","19,000",0,"19,000","19,000",カード,,外国女性,IV,中尾,0,
449483,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23796664X,FJALLRAVEN,23796,Kanken Hip Pack,664,Frost Green,X,1,"8,000",800,"8,800","8,000",800,"8,800","8,000",カード,,女性,II,長尾,1,143738
449483,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,GIFT400,Other,GIFT400,Gift Wrapping (M),,,X,1,400,40,440,400,40,440,400,カード,,女性,II,長尾,1,143738
449484,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23346300X,FJALLRAVEN,23346,Skule 28,300,Dusty Rose,X,1,"14,000",0,"14,000","14,000",0,"14,000","14,000",現金,,外国女性,II,須藤,0,
449484,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,現金,,外国女性,II,須藤,0,
449485,2026/06/30,FJALLRAVEN POPUP NARITA,23785334X,FJALLRAVEN,23785,Kanken Keyring,334,True Red,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",現金,,女性,III,共通ユーザ,0,
449485,2026/06/30,FJALLRAVEN POPUP NARITA,23227543X,FJALLRAVEN,23227,High Coast Crossbody,543,Dawn Blue,X,1,"10,000","1,000","11,000","10,000","1,000","11,000","10,000",現金,,女性,III,共通ユーザ,0,
449485,2026/06/30,FJALLRAVEN POPUP NARITA,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,現金,,女性,III,共通ユーザ,0,
449485,2026/06/30,FJALLRAVEN POPUP NARITA,GIFT300,Other,GIFT300,Gift Wrapping (S),,,X,1,300,30,330,300,30,330,300,現金,,女性,III,共通ユーザ,0,
449486,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,89849113XS,FJALLRAVEN,89849,Arctic Fox Print T-Shirt W,113,Chalk White,XS,1,"6,570",657,"7,227","6,570",657,"7,227","7,300",カード,,女性,VI,大坂,1,115601
449487,2026/06/30,FJALLRAVEN by 3NITY TOKYO,84766191M,FJALLRAVEN,84766,Travellers MT Hat,191,Light Beige,M,1,"7,400",740,"8,140","7,400",740,"8,140","7,400",現金,,女性,III,共通ユーザ,0,
449488,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,現金,,女性,II,長尾,0,
449488,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23524424X,FJALLRAVEN,23524,Kanken Laptop 15,424,Blackberry,X,1,"18,000","1,800","19,800","18,000","1,800","19,800","18,000",現金,,女性,II,長尾,0,
449489,2026/06/30,FJALLRAVEN by 3NITY SAPPORO HUTTE,23561021-312X,FJALLRAVEN,23561,Kanken Mini,021-312,Fog-Pink,X,1,"11,000","1,100","12,100","11,000","1,100","12,100","12,000",電子マネー,,女性,IV,佐藤,1,104910
449490,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,23200359577-986X,FJALLRAVEN,23200359,Kanken Graphics Laptop 15,577-986,Nimbus Blue-Hidden Animals,X,1,"21,000","2,100","23,100","21,000","2,100","23,100","21,000",カード,,外国女性,II,大森,0,
449490,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,外国女性,II,大森,0,
449491,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,8717955050,FJALLRAVEN,87179,Barents Pro Trousers M,550,Black,50,1,"24,000","2,400","26,400","24,000","2,400","26,400","24,000",カード,,男性,V,久保,1,127688
449491,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,23100177550X,FJALLRAVEN,23100177,Abisko Bottle Pocket,550,Black,X,1,"6,000",600,"6,600","6,000",600,"6,600","6,000",カード,,男性,V,久保,1,127688
449493,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23510540X,FJALLRAVEN,23510,Kanken,540,Royal Blue,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",カード,,女性,II,木村,1,143739
449493,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,女性,II,木村,1,143739
449494,2026/06/30,FJALLRAVEN by 3NITY SAPPORO HUTTE,23200339037X,FJALLRAVEN,23200339,Vardag Pocket Large,037,Coal Black,X,1,"8,100",810,"8,910","8,100",810,"8,910","9,000",現金,,女性,III,佐藤,1,141984
449495,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,87148620X,FJALLRAVEN,87148,Swedish Classic Map Scarf,620,Green,X,1,"4,500",450,"4,950","4,500",450,"4,950","5,500",複数金種,,女性,II,鶴井,1,137692
449495,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,77352633X,FJALLRAVEN,77352,G1000 Seat Pad,633,Dark Olive,X,1,"4,000",400,"4,400","4,000",400,"4,400","4,000",複数金種,,女性,II,鶴井,1,137692
449496,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23524620X,FJALLRAVEN,23524,Kanken Laptop 15,620,Green,X,1,"18,000",0,"18,000","18,000",0,"18,000","18,000",カード,,外国女性,IV,共通ユーザ,0,
449496,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,外国女性,IV,共通ユーザ,0,
449497,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23200331550X,FJALLRAVEN,23200331,High Coast Tote 30,550,Black,X,1,"19,000","1,900","20,900","19,000","1,900","20,900","19,000",複数金種,,外国男性,III,久保,0,
449498,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,TNT040S171L,TENNEN,TNT040S,shi Re toko tee,171,Olive,L,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",電子マネー,,女性,IV,長尾,0,
449498,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,電子マネー,,女性,IV,長尾,0,
449499,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23561501-115X,FJALLRAVEN,23561,Kanken Mini,501-115,Sky Blue-Light Oak,X,1,"6,000",600,"6,600","6,000",600,"6,600","12,000",現金,,男性,III,共通ユーザ,0,
449500,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,23200335662X,FJALLRAVEN,23200335,Skule 24,662,Deep Forest,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",現金,,外国男性,II,大坂,0,
449501,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,23510540X,FJALLRAVEN,23510,Kanken,540,Royal Blue,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",現金,,女性,I,大森,0,
449501,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,現金,,女性,I,大森,0,
449502,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,24221030X,FJALLRAVEN,24221,Pocket,030,Dark Grey,X,1,"6,000",600,"6,600","6,000",600,"6,600","6,000",電子マネー,,外国女性,IV,長尾,0,
449503,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,23227550X,FJALLRAVEN,23227,High Coast Crossbody,550,Black,X,1,"10,000","1,000","11,000","10,000","1,000","11,000","10,000",カード,,外国女性,III,大森,0,
449504,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23797031X,FJALLRAVEN,23797,Kanken Sling,031,GRAPHITE,X,1,"10,500","1,050","11,550","10,500","1,050","11,550","10,500",電子マネー,,女性,I,鶴井,0,
449505,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,79060X,FJALLRAVEN,79060,Greenland Wax,,,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",カード,,女性,III,鶴井,1,143740
449506,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,TNC102180X,TENNEN,TNC102,ジャンボ結び＆ボールチャーム,180,Misty,X,1,"3,500",350,"3,850","3,500",350,"3,850","3,500",現金,,女性,IV,片岡,1,143741
449506,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,TNC100140X,TENNEN,TNC100,2wayジャンボミニサコッシュ Tall,140,Natural,X,1,"10,000","1,000","11,000","10,000","1,000","11,000","10,000",現金,,女性,IV,片岡,1,143741
449506,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,現金,,女性,IV,片岡,1,143741
449508,2026/06/30,6142,23797118X,FJALLRAVEN,23797,Kanken Sling,118,Fossil,X,1,"10,500",0,"10,500","10,500",0,"10,500","10,500",カード,,外国女性,III,中尾,0,
449510,2026/06/30,6142,23340560X,FJALLRAVEN,23340,Haulpack No.1,560,Navy,X,1,"26,000",0,"26,000","26,000",0,"26,000","26,000",カード,,外国女性,II,中尾,0,
449510,2026/06/30,6142,23223207X,FJALLRAVEN,23223,High Coast Hip Pack,207,Sunset Orange,X,1,"6,500",0,"6,500","6,500",0,"6,500","6,500",カード,,外国女性,II,中尾,0,
449513,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23710021X,FJALLRAVEN,23710,Kanken Totepack,021,Fog,X,1,"15,000",0,"15,000","15,000",0,"15,000","15,000",電子マネー,,外国男性,II,鶴井,0,
449514,2026/06/30,FJALLRAVEN by 3NITY TOKYO,79060X,FJALLRAVEN,79060,Greenland Wax,,,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",カード,,女性,III,赤根,0,
449515,2026/06/30,FJALLRAVEN by 3NITY TOKYO,24213633X,FJALLRAVEN,24213,Gear Bag,633,Dark Olive,X,1,"4,300",0,"4,300","4,300",0,"4,300","4,300",カード,,外国男性,IV,宮下,0,
449515,2026/06/30,FJALLRAVEN by 3NITY TOKYO,24221228X,FJALLRAVEN,24221,Pocket,228,Khaki Dust,X,1,"6,000",0,"6,000","6,000",0,"6,000","6,000",カード,,外国男性,IV,宮下,0,
449515,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,カード,,外国男性,IV,宮下,0,
449516,2026/06/30,6142,23510126X,FJALLRAVEN,23510,Kanken,126,Corn,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",電子マネー,,男性,IV,中尾,0,
449516,2026/06/30,6142,RP010,Other,RP010,ショッパー(S),,,X,1,100,10,110,100,10,110,50,電子マネー,,男性,IV,中尾,0,
449517,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,23561600X,FJALLRAVEN,23561,Kanken Mini,600,Mint Green,X,1,"12,000","1,200","13,200","12,000","1,200","13,200","12,000",電子マネー,,外国女性,V,大森,0,
449517,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,電子マネー,,外国女性,V,大森,0,
449519,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23561021X,FJALLRAVEN,23561,Kanken Mini,021,Fog,X,1,"12,000","1,200","13,200","12,000","1,200","13,200","12,000",複数金種,,外国女性,III,久保,0,
449519,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,RP008,Other,RP008,KANKEN SMU,,,X,1,"2,000",200,"2,200","2,000",200,"2,200","2,000",複数金種,,外国女性,III,久保,0,
449519,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23505664X,FJALLRAVEN,23505,Kanken Shoulder Pads,664,Frost Green,X,1,"3,500",350,"3,850","3,500",350,"3,850","3,500",複数金種,,外国女性,III,久保,0,
449519,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,複数金種,,外国女性,III,久保,0,
449520,2026/06/30,FJALLRAVEN by 3NITY TOKYO,87039113L,FJALLRAVEN,87039,Ovik Travel Shirt SS M,113,Chalk White,L,1,"11,000","1,100","12,100","11,000","1,100","12,100","11,000",カード,,外国男性,III,須藤,0,
449521,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23222560X,FJALLRAVEN,23222,High Coast Foldsack 24,560,Navy,X,1,"14,500","1,450","15,950","14,500","1,450","15,950","14,500",複数金種,,外国女性,II,久保,0,
449521,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23785620X,FJALLRAVEN,23785,Kanken Keyring,620,Green,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",複数金種,,外国女性,II,久保,0,
449522,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23510576X,FJALLRAVEN,23510,Kanken,576,Midnight Purple,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",カード,,男性,II,赤根,1,143742
449522,2026/06/30,FJALLRAVEN by 3NITY TOKYO,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,男性,II,赤根,1,143742
449522,2026/06/30,FJALLRAVEN by 3NITY TOKYO,GIFT400,Other,GIFT400,Gift Wrapping (M),,,X,1,400,40,440,400,40,440,400,カード,,男性,II,赤根,1,143742
449523,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23227550X,FJALLRAVEN,23227,High Coast Crossbody,550,Black,X,1,"10,000",0,"10,000","10,000",0,"10,000","10,000",カード,,外国男性,III,長尾,0,
449524,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23100158550X,FJALLRAVEN,23100158,Kanken Rain Cover Plus,550,Black,X,1,"4,500",450,"4,950","4,500",450,"4,950","4,500",現金,,女性,IV,木村,1,143743
449525,2026/06/30,6142,23345357X,FJALLRAVEN,23345,Raven 28,357,Port,X,1,"19,000",0,"19,000","19,000",0,"19,000","19,000",カード,,外国女性,II,中尾,0,
449526,2026/06/30,6142,23200337550X,FJALLRAVEN,23200337,Skule Sling 6,550,Black,X,1,"9,000",0,"9,000","9,000",0,"9,000","9,000",カード,,外国男性,V,中尾,0,
449527,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23200332620-221X,FJALLRAVEN,23200332,Vardag Foldsack 25,620-221,Green-Clay,X,1,"21,500",0,"21,500","21,500",0,"21,500","21,500",現金,,外国男性,III,鶴井,0,
449529,2026/06/30,FJALLRAVEN by 3NITY玉川高島屋S・C,23510550X,FJALLRAVEN,23510,Kanken,550,Black,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",カード,,女性,I,村田,1,143744
449529,2026/06/30,FJALLRAVEN by 3NITY玉川高島屋S・C,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,女性,I,村田,1,143744
449530,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,23510501-115X,FJALLRAVEN,23510,Kanken,501-115,Sky Blue-Light Oak,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",デビット,,男性,IV,大森,0,
449530,2026/06/30,FJALLRAVEN by 3NITY 京王新宿,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,デビット,,男性,IV,大森,0,
449533,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23510312X,FJALLRAVEN,23510,Kanken,312,Pink,X,1,"13,000",0,"13,000","13,000",0,"13,000","13,000",現金,,外国女性,IV,木村,0,
449533,2026/06/30,FJALLRAVEN by 3NITY TOKYO,23505326X,FJALLRAVEN,23505,Kanken Shoulder Pads,326,Ox Red,X,1,"3,500",0,"3,500","3,500",0,"3,500","3,500",現金,,外国女性,IV,木村,0,
449536,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,81511300L,FJALLRAVEN,81511,Ovik Polo Shirt M,300,Dusty Rose,L,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",複数金種,,女性,IV,久保,1,143745
449537,2026/06/30,FJALLRAVEN POPUP NARITA,23510302X,FJALLRAVEN,23510,Kanken,302,Chalk Rose,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",カード,,女性,I,共通ユーザ,0,
449537,2026/06/30,FJALLRAVEN POPUP NARITA,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,女性,I,共通ユーザ,0,
449538,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,23565118X,FJALLRAVEN,23565,KankenNo.2,118,Fossil,X,1,"20,000","2,000","22,000","20,000","2,000","22,000","20,000",カード,,外国男性,III,久保,0,
449538,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,23505228X,FJALLRAVEN,23505,Kanken Shoulder Pads,228,Khaki Dust,X,1,"3,500",350,"3,850","3,500",350,"3,850","3,500",カード,,外国男性,III,久保,0,
449538,2026/06/30,FJALLRAVEN STORE 名古屋ファッションワン,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,外国男性,III,久保,0,
449543,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23710031X,FJALLRAVEN,23710,Kanken Totepack,031,Graphite,X,1,"15,000","1,500","16,500","15,000","1,500","16,500","15,000",カード,,男性,II,鶴井,1,143746
449543,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,79060X,FJALLRAVEN,79060,Greenland Wax,,,X,1,"1,500",150,"1,650","1,500",150,"1,650","1,500",カード,,男性,II,鶴井,1,143746
449543,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,男性,II,鶴井,1,143746
449544,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23344550-550X,FJALLRAVEN,23344,Raven 20,550-550,Black-Black,X,1,"16,000","1,600","17,600","16,000","1,600","17,600","16,000",複数金種,,外国女性,IV,久保,0,
449544,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23200337550X,FJALLRAVEN,23200337,Skule Sling 6,550,Black,X,1,"9,000",900,"9,900","9,000",900,"9,900","9,000",複数金種,,外国女性,IV,久保,0,
449544,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,複数金種,,外国女性,IV,久保,0,
449549,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,RP010,Other,RP010,ショッパー(S),,,X,1,50,5,55,50,5,55,50,電子マネー,,外国女性,II,志良堂,0,
449549,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23226543X,FJALLRAVEN,23226,High Coast Pocket,543,Dawn Blue,X,1,"5,000",0,"5,000","5,000",0,"5,000","5,000",電子マネー,,外国女性,II,志良堂,0,
449550,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,23346050X,FJALLRAVEN,23346,Skule 28,050,Basalt,X,1,"14,000","1,400","15,400","14,000","1,400","15,400","14,000",複数金種,,外国女性,IV,久保,0,
449550,2026/06/30,FJALLRAVEN by 3NITY 大丸心斎橋,24216633X,FJALLRAVEN,24216,Zip Wallet,633,Dark Olive,X,1,"5,800",580,"6,380","5,800",580,"6,380","5,800",複数金種,,外国女性,IV,久保,0,
449551,2026/06/30,FJALLRAVEN by 3NITY ルクア大阪,23200358577-986X,FJALLRAVEN,23200358,Kanken Graphics Hip Pack,577-986,Nimbus Blue-Hidden Animals,X,1,"10,000","1,000","11,000","10,000","1,000","11,000","10,000",カード,,女性,II,鶴井,1,143747
449565,2026/07/01,FJALLRAVEN POPUP NARITA,77357030L/XL,FJALLRAVEN,77357,Vidda Cap,030,Dark Grey,L/XL,1,"6,200",620,"6,820","6,200",620,"6,820","6,200",カード,,男性,III,吉田,0,
449567,2026/07/01,FJALLRAVEN STORE 名古屋ファッションワン,87146133M,FJALLRAVEN,87146,Fjallraven Logo Tee W,133,Mais Yellow,M,1,"3,250",325,"3,575","3,250",325,"3,575","6,500",カード,,女性,V,久保,0,
449571,2026/07/01,FJALLRAVEN STORE 名古屋ファッションワン,23510031X,FJALLRAVEN,23510,Kanken,031,Graphite,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",複数金種,,女性,VI,久保,0,
449571,2026/07/01,FJALLRAVEN STORE 名古屋ファッションワン,RP008,Other,RP008,KANKEN SMU,,,X,1,"2,000",200,"2,200","2,000",200,"2,200","2,000",複数金種,,女性,VI,久保,0,
449571,2026/07/01,FJALLRAVEN STORE 名古屋ファッションワン,23505560X,FJALLRAVEN,23505,Kanken Shoulder Pads,560,Navy,X,1,"3,500",350,"3,850","3,500",350,"3,850","3,500",複数金種,,女性,VI,久保,0,
449573,2026/07/01,FJALLRAVEN by 3NITY ルクア大阪,87153113S,FJALLRAVEN,87153,Fox Boxy Logo Tee W,113,Chalk White,S,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",カード,,女性,V,生田,1,143748
449573,2026/07/01,FJALLRAVEN by 3NITY ルクア大阪,87146357S,FJALLRAVEN,87146,Fjallraven Logo Tee W,357,Port,S,1,"6,500",650,"7,150","6,500",650,"7,150","6,500",カード,,女性,V,生田,1,143748
449573,2026/07/01,FJALLRAVEN by 3NITY ルクア大阪,23200307221X,FJALLRAVEN,23200307,Abisko Softpack 16,221,Clay,X,1,"16,500","1,650","18,150","16,500","1,650","18,150","16,500",カード,,女性,V,生田,1,143748
449573,2026/07/01,FJALLRAVEN by 3NITY ルクア大阪,Hokkosai1200X,Other,Hokkosai1200,北狐祭手ぬぐい,,,X,1,600,60,660,600,60,660,"1,200",カード,,女性,V,生田,1,143748
449573,2026/07/01,FJALLRAVEN by 3NITY ルクア大阪,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,女性,V,生田,1,143748
449574,2026/07/01,FJALLRAVEN by 3NITY 大丸心斎橋,23344633X,FJALLRAVEN,23344,Raven 20,633,Dark Olive,X,1,"16,000","1,600","17,600","16,000","1,600","17,600","16,000",複数金種,,外国女性,II,片岡,0,
