処理番号,営業日付,店舗名称,3rd Item No.,表記部門名1,StyleNo,商品名,ColorNo,ColorName,Size,数量,税抜単価,税単価,税込単価,税抜金額,税額,税込金額,上代,金種名,調整値引,客層名,拡張名,販売者,会員フラグ,会員番号
449296,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,14600200030S,FJALLRAVEN,14600200,ovik Hemp Camp Shirt SS W,030,Dark Grey,S,1,"13,050","1,305","14,355","13,050","1,305","14,355","14,500",カード,,女性,IV,志良堂,1,139761
449297,2026/06/29,FJALLRAVEN by 3NITY TOKYO,23200352620X,FJALLRAVEN,23200352,Kajka X-Latt 45 M/L,620,Green,X,1,"48,000",0,"48,000","48,000",0,"48,000","48,000",カード,,外国男性,III,及川,0,
449297,2026/06/29,FJALLRAVEN by 3NITY TOKYO,23100184525X,FJALLRAVEN,23100184,Rain Cover Latt 45-50,525,UN Blue,X,1,"7,000",0,"7,000","7,000",0,"7,000","7,000",カード,,外国男性,III,及川,0,
449297,2026/06/29,FJALLRAVEN by 3NITY TOKYO,87176662-62546/R,FJALLRAVEN,87176,Keb Trousers M,662-625,Deep Forest-Laurel Green,46/R,1,"32,000",0,"32,000","32,000",0,"32,000","32,000",カード,,外国男性,III,及川,0,
449298,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,54830550X,FJALLRAVEN,54830,Dome 3 Footprint,550,Black,X,1,"14,000","1,400","15,400","14,000","1,400","15,400","19,000",ポイント,,男性,II,生田,1,141911
449299,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23510302X,FJALLRAVEN,23510,Kanken,302,Chalk Rose,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",現金,,女性,I,志良堂,1,143714
449299,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,現金,,女性,I,志良堂,1,143714
449300,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23797457X,FJALLRAVEN,23797,Kanken Sling,457,Pastel Lavender,X,1,"10,500",0,"10,500","10,500",0,"10,500","10,500",電子マネー,,外国女性,III,志良堂,0,
449300,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,24221679X,FJALLRAVEN,24221,Pocket,679,Deep Patina,X,1,"6,000",0,"6,000","6,000",0,"6,000","6,000",電子マネー,,外国女性,III,志良堂,0,
449301,2026/06/29,FJALLRAVEN by 3NITY玉川高島屋S・C,23510560X,FJALLRAVEN,23510,Kanken,560,Navy,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",電子マネー,,男性,VI,小林,0,
449302,2026/06/29,FJALLRAVEN by 3NITY SAPPORO HUTTE,12600216620L,FJALLRAVEN,12600216,WalkWithNatureT-shirtM,620,Green,L,1,"5,525",553,"6,078","5,525",553,"6,078","6,500",カード,,男性,IV,佐藤,1,133371
449302,2026/06/29,FJALLRAVEN by 3NITY SAPPORO HUTTE,12600216244L,FJALLRAVEN,12600216,Walk With Nature T-shirt M,244,Suede Brown,L,1,"5,525",553,"6,078","5,525",553,"6,078","6,500",カード,,男性,IV,佐藤,1,133371
449302,2026/06/29,FJALLRAVEN by 3NITY SAPPORO HUTTE,24221633X,FJALLRAVEN,24221,Pocket,633,Dark Olive,X,1,"5,000",500,"5,500","5,000",500,"5,500","6,000",カード,,男性,IV,佐藤,1,133371
449303,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23510118X,FJALLRAVEN,23510,Kanken,118,Fossil,X,1,"13,000","1,300","14,300","13,000","1,300","14,300","13,000",現金,,女性,IV,生田,1,143715
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,77316550X,FJALLRAVEN,77316,Keb Trekking Belt,550,Black,X,1,"4,320",432,"4,752","4,320",432,"4,752","4,800",カード,,男性,IV,志良堂,1,143107
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,86977625S,FJALLRAVEN,86977,Abisko Wool Logo SS M,625,Laurel Green,S,1,"9,900",990,"10,890","9,900",990,"10,890","11,000",カード,,男性,IV,志良堂,1,143107
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,79060X,FJALLRAVEN,79060,Greenland Wax,,,X,1,"1,350",135,"1,485","1,350",135,"1,485","1,500",カード,,男性,IV,志良堂,1,143107
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,86977550S,FJALLRAVEN,86977,Abisko Wool Logo SS M,550,Black,S,1,"9,900",990,"10,890","9,900",990,"10,890","11,000",カード,,男性,IV,志良堂,1,143107
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,86411550-55048/R,FJALLRAVEN,86411,Keb Agile Trousers M,550-550,Black-Black,48/R,1,"27,900","2,790","30,690","27,900","2,790","30,690","31,000",カード,,男性,IV,志良堂,1,143107
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,8641163348/R,FJALLRAVEN,86411,Keb Agile Trousers M,633,Dark Olive,48/R,1,"27,900","2,790","30,690","27,900","2,790","30,690","31,000",カード,,男性,IV,志良堂,1,143107
449304,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,RP011,Other,RP011,ショッパー(M),,,X,1,50,5,55,50,5,55,50,カード,,男性,IV,志良堂,1,143107
449305,2026/06/29,FJALLRAVEN by 3NITY ルクア大阪,23227543X,FJALLRAVEN,23227,High Coast Crossbody,543,Dawn Blue,X,1,"10,000",0,"10,000","10,000",0,"10,000","10,000",現金,,外国女性,II,生田,0,
449306,2026/06/29,FJALLRAVEN by 3NITY 京王新宿,23797664-319X,FJALLRAVEN,23797,Kanken Sling,664-319,Frost Green-Peach Pink,X,1,"10,500","1,050","11,550","10,500","1,050","11,550","10,500",現金,,女性,II,高橋,0,
449307,2026/06/29,FJALLRAVEN by 3NITY 京王新宿,23796424X,FJALLRAVEN,23796,Kanken Hip Pack,424,Blackberry,X,1,"8,000",800,"8,800","8,000",800,"8,800","8,000",現金,,女性,IV,沖山,1,143717
449310,2026/06/29,FJALLRAVEN by 3NITY TOKYO,86984550XS,FJALLRAVEN,86984,HC Hydratic Trail Jacket M,550,Black,XS,1,"42,000",0,"42,000","42,000",0,"42,000","42,000",カード,,外国男性,V,及川,0,
449310,2026/06/29,FJALLRAVEN by 3NITY TOKYO,TNA04210125-27,TENNEN,TNA042,天撚くつした/MERINO WOOL×COTTON,101,Charcoal,25-27,1,"2,400",0,"2,400","2,400",0,"2,400","2,400",カード,,外国男性,V,及川,0,
449313,2026/06/29,FJALLRAVEN by 3NITY TOKYO NODE,79030X,FJALLRAVEN,79030,Greenland Wax travel pack,,,X,1,850,85,935,850,85,935,850,現金,,女性,II,井上,0,
449314,2026/06/29,FJALLRAVEN by 3NITY玉川高島屋S・C,Hokkosai1200X,Other,Hokkosai1200,北狐祭手ぬぐい,,,X,1,600,60,660,600,60,660,"1,200",ポイント,,男性,IV,小林,1,138076
449315,2026/06/29,FJALLRAVEN by 3NITY 大丸心斎橋,23802664X,FJALLRAVEN,23802,Kanken Weekender,664,Frost Green,X,1,"28,000","2,800","30,800","28,000","2,800","30,800","28,000",複数金種,,外国女性,III,久保,1,１４３７１８
449317,2026/06/29,FJALLRAVEN by 3NITY TOKYO NODE,79030X,FJALLRAVEN,79030,Greenland Wax travel pack,,,X,-1,850,85,935,-850,-85,-935,850,現金,,女性,II,共通ユーザ,0,
